name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency
RZE__to__SZZ_cand_210,0.4,6,11.3,3.52,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_211,0.4,6,11.3,3.52,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_212,0.4,6,11.3,3.52,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_213,0.4,6,11.3,3.52,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_214,0.4,6,11.3,3.52,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_215,0.4,6,11.3,3.52,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_216,0.4,6,11.3,3.52,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_217,0.4,6,11.3,3.52,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_218,0.4,6,11.3,3.52,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_219,0.4,6,11.3,3.52,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_220,0.5,6,11.3,1.0899999999999999,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_221,0.5,6,11.3,1.0899999999999999,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_222,0.5,6,11.3,1.0899999999999999,0.3,3.08,1.0000000000,true,0.9740259740
RZE__to__SZZ_cand_223,0.5,6,11.3,1.0899999999999999,0.3,3.5,1.0000000000,true,0.8571428571
RZE__to__SZZ_cand_224,0.5,6,11.3,1.0899999999999999,0.3,3.92,1.0000000000,true,0.7653061224
RZE__to__SZZ_cand_225,0.5,6,11.3,1.0899999999999999,0.3,4.2,1.0000000000,true,0.7142857143
RZE__to__SZZ_cand_226,0.5,6,11.3,1.0899999999999999,0.3,4.34,1.0000000000,true,0.7142857143
RZE__to__SZZ_cand_227,0.5,6,11.3,1.0899999999999999,0.3,4.76,1.0000000000,true,0.7142857143
RZE__to__SZZ_cand_228,0.5,6,11.3,1.0899999999999999,0.3,5.18,1.0000000000,true,0.7142857143
RZE__to__SZZ_cand_229,0.5,6,11.3,1.0899999999999999,0.3,5.6,1.0000000000,true,0.7142857143
RZE__to__SZZ_cand_230,0.5,6,11.3,1.3599999999999999,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_231,0.5,6,11.3,1.3599999999999999,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_232,0.5,6,11.3,1.3599999999999999,0.3,3.08,1.0000000000,true,0.9760765550
RZE__to__SZZ_cand_233,0.5,6,11.3,1.3599999999999999,0.3,3.5,1.0000000000,true,0.8589473684
RZE__to__SZZ_cand_234,0.5,6,11.3,1.3599999999999999,0.3,3.92,1.0000000000,true,0.7669172932
RZE__to__SZZ_cand_235,0.5,6,11.3,1.3599999999999999,0.3,4.2,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_236,0.5,6,11.3,1.3599999999999999,0.3,4.34,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_237,0.5,6,11.3,1.3599999999999999,0.3,4.76,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_238,0.5,6,11.3,1.3599999999999999,0.3,5.18,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_239,0.5,6,11.3,1.3599999999999999,0.3,5.6,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_240,0.5,6,11.3,1.63,0.3,2.24,1.0000000000,true,1.0000000000
