candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency
RZE_resampled_77,0.3500000000,6.0000000000,11.3000000000,2.0500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9800000000,1.0000000000
RZE_resampled_78,0.3800000000,6.0000000000,11.3000000000,2.0800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_79,0.3143774456,6.0000000000,11.3000000000,1.9879585537,0.3000000000,2.5037184173,1.0000000000,true,1.0000000000,0.8789495271,1.0000000000
RZE_resampled_80,0.3200000000,6.0000000000,11.3000000000,2.1000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8993888806,1.0000000000
RZE_resampled_81,0.3500000000,6.0000000000,11.3000000000,2.1000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9800000000,1.0000000000
RZE_resampled_82,0.3800000000,6.0000000000,11.3000000000,2.1000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_83,0.3598249179,6.0000000000,11.3000000000,2.0891299579,0.3000000000,2.4411052651,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_87,0.3837288682,6.0000000000,11.3000000000,2.1028996871,0.3000000000,2.4855783642,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_88,0.3000000000,6.0000000000,11.3000000000,2.1200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8717808966,1.0000000000
RZE_resampled_89,0.3000000000,6.0000000000,11.3000000000,2.1500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8767582050,1.0000000000
RZE_resampled_90,0.3000000000,6.0000000000,11.3000000000,2.1800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8815702806,1.0000000000
